PIY pl iyl
a  a
a a
ai  ai
ai ai
an  an
an an
ang  ang
ang ang
ao  ao
ao ao
ba  b a
ba b a
bai  b ai
bai b ai
ban  b an
ban b an
bang  b ang
bang b ang
banr b anr
bao  b ao
bao b ao
bei  b ei
bei b ei
ben  b en
ben b en
beng  b eng
beng b eng
bi  b i
bi b i
bian  b ian
bian b ian
biao  b iao
biao b iao
bie  b ie
bie b ie
bin  b in
bin b in
bing  b ing
bing b ing
bo  b o
bo b o
bu  b u
bu b u
ca  c a
ca c a
cai  c ai
cai c ai
can  c an
can c an
cang  c ang
cang c ang
cao  c ao
cao c ao
ce  c e
ce c e
cen  c en
cen c en
ceng  c eng
ceng c eng
cha  ch a
cha ch a
chai  ch ai
chai ch ai
chan  ch an
chan ch an
chang  ch ang
chang ch ang
chao  ch ao
chao ch ao
che  ch e
che ch e
chen  ch en
chen ch en
cheng  ch eng
cheng ch eng
chi  ch iii
chi ch iii
chong  ch ong
chong ch ong
chou  ch ou
chou ch ou
chu  ch u
chu ch u
chuai  ch uai
chuai ch uai
chuan  ch uan
chuan ch uan
chuang  ch uang
chuang ch uang
chui  ch uei
chui ch uei
chun  ch uen
chun ch uen
chuo  ch uo
chuo ch uo
ci  c ii
ci c ii
cir  c ir
cir c ir
cong  c ong
cong c ong
cou  c ou
cou c ou
cu  c u
cu c u
cuan  c uan
cuan c uan
cui  c uei
cui c uei
cun  c uen
cun c uen
cuo c uo
da  d a
da d a
dai  d ai
dai d ai
dan  d an
dan d an
dang  d ang
dang d ang
dao  d ao
dao d ao
daor  d aor
daor d aor
de  d e
de d e
dei  d ei
dei d ei
deng  d eng
deng d eng
di  d i
di d i
dia d ia
dian  d ian
dian d ian
dianr d ianr
diao  d iao
diao d iao
die  d ie
die d ie
ding  d ing
ding d ing
dir d ir
diu  d iou
diu d iou
dong  d ong
dong d ong
dou  d ou
dou d ou
du  d u
du d u
duan  d uan
duan d uan
dui  d uei
dui d uei
duir d ueir
dun  d uen
dun d uen
dunr d uenr
duo  d uo
duo d uo
duor d uor
e  e
e e
ei  ei
ei ei
en  en
en en
er  er
er er
fa  f a
fa f a
fan  f an
fan f an
fang  f ang
fang f ang
fanr f anr
far f ar
fei  f ei
fei f ei
fen  f en
fen f en
feng  f eng
feng f eng
fo  f o
fo f o
fou  f ou
fou f ou
fu  f u
fu f u
fur f ur
ga  g a
ga g a
gai  g ai
gai g ai
gair g air
gan  g an
gan g an
gang  g ang
gang g ang
gao  g ao
gao g ao
ge  g e
ge g e
gei  g ei
gei g ei
gen  g en
gen g en
geng  g eng
geng g eng
genr g enr
ger  g er
ger g er
gong  g ong
gong g ong
gou  g ou
gou g ou
gu  g u
gu g u
gua  g ua
gua g ua
guai  g uai
guai g uai
guan  g uan
guan g uan
guang  g uang
guang g uang
gui  g uei
gui g uei
gun  g uen
gun g uen
gunr g uenr
guo  g uo
guo g uo
ha  h a
ha h a
hai  h ai
hai h ai
hair h air
han  h an
han h an
hang  h ang
hang h ang
hanr h anr
hao  h ao
hao h ao
he  h e
he h e
hei  h ei
hei h ei
hen  h en
hen h en
heng  h eng
heng h eng
her h er
hong  h ong
hong h ong
hou  h ou
hou h ou
hu  h u
hu h u
hua  h ua
hua h ua
huai  h uai
huai h uai
huan  h uan
huan h uan
huang  h uang
huang h uang
huanr h uanr
hui  h uei
hui h uei
huir h ueir
hun  h uen
hun h uen
huo  h uo
huo h uo
huor h uor
ji  j i
ji j i
jia  j ia
jia j ia
jian  j ian
jian j ian
jiang  j iang
jiang j iang
jiao  j iao
